ID000001,850-47-3740,Mark,Morgan,mmorgan0@g.co,5677 Coolidge Street,Plano,TX,(469) 904-1438
ID000002,256-95-4382,Eric,Warren,ewarren1@ed.gov,9062 Schurz Drive,Dallas,TX,(214) 701-8127
ID000003,256-51-5268,Robert,Harper,rharper2@angelfire.com,7786 Sachs Place,Plano,TX,(214) 875-5911
ID000004,976-95-2914,Donna,Franklin,dfranklin3@alexa.com,3 Magdeline Terrace,Plano,TX,(214) 800-6127
ID000005,906-63-3588,Linda,King,lking4@illinois.edu,41260 Kedzie Terrace,Dallas,TX,(469) 213-2549
ID000006,206-26-7141,Judy,Holmes,jholmes5@github.io,6583 Manitowish Hill,Dallas,TX,(972) 898-5909
ID000007,898-61-3567,Deborah,Lawrence,dlawrence6@chicagotribune.com,2 Hermina Trail,Dallas,TX,(972) 900-2951
ID000008,644-25-0492,Adam,Johnston,ajohnston7@is.gd,05671 Norway Maple Court,Dallas,TX,(469) 743-0176
ID000009,678-12-4697,Pamela,Carr,pcarr8@stumbleupon.com,1848 Fordem Avenue,Richardson,TX,(972) 247-9852
ID000010,562-33-7951,Daniel,Fisher,dfisher9@liveinternet.ru,400 Cody Lane,Plano,TX,(214) 891-7743
ID000011,441-90-7753,Stephen,Fields,sfieldsa@sphinn.com,99 Fair Oaks Drive,Plano,TX,(214) 801-3069
ID000012,305-53-3736,Walter,Ferguson,wfergusonb@jalbum.net,814 Sutteridge Point,Dallas,TX,(469) 945-8172
ID000013,634-61-6311,Paul,Cook,pcookc@blogtalkradio.com,58295 Pierstorff Pass,Richardson,TX,(469) 932-0168
ID000014,661-24-6360,Roy,Smith,rsmithd@csmonitor.com,563 Fairview Park,Dallas,TX,(214) 911-4724
ID000015,350-83-8412,Michelle,Gardner,mgardnere@wordpress.org,28309 Paget Court,Plano,TX,(469) 974-2681
ID000016,439-75-5475,George,Powell,gpowellf@scribd.com,31 Clove Crossing,Dallas,TX,(972) 885-7291
ID000017,431-61-5822,Nicholas,Hudson,nhudsong@uol.com.br,29 Esker Trail,Dallas,TX,(469) 698-4000
ID000018,879-82-7179,Linda,Henderson,lhendersonh@mayoclinic.com,117 Katie Center,Dallas,TX,(469) 997-0832
ID000019,484-96-1826,Gregory,Fowler,gfowleri@foxnews.com,42454 Hermina Plaza,Dallas,TX,(214) 936-8301
ID000020,562-52-7080,Carol,Sanders,csandersj@usda.gov,99600 Moland Way,Dallas,TX,(214) 762-1061
ID000021,876-61-5170,Mark,Hamilton,mhamiltonk@deliciousdays.com,76425 Dixon Hill,Dallas,TX,(972) 802-7903
ID000022,139-71-1123,Anthony,Brown,abrownl@rakuten.co.jp,8691 Walton Terrace,Dallas,TX,(972) 947-3376
ID000023,239-16-6210,James,Rivera,jriveram@comsenz.com,4 Golden Leaf Trail,Dallas,TX,(214) 761-8129
ID000024,283-06-7717,Tammy,Cole,tcolen@toplist.cz,22 Atwood Parkway,Dallas,TX,(469) 292-1882
ID000025,371-60-9878,Donald,Bowman,dbowmano@goo.gl,196 Golf View Terrace,Dallas,TX,(214) 956-6083
ID000026,438-78-7652,Susan,Gomez,sgomezp@economist.com,601 Warbler Point,Richardson,TX,(972) 877-1341
ID000027,893-37-1519,Juan,Martin,jmartinq@craigslist.org,846 Johnson Circle,Dallas,TX,(214) 828-5694
ID000028,434-92-5388,Samuel,Bailey,sbaileyr@indiegogo.com,1367 Northport Drive,Dallas,TX,(972) 972-2250
ID000029,444-50-9807,Paul,White,pwhites@fc2.com,24775 Melvin Place,Dallas,TX,(469) 459-4087
ID000030,557-41-0386,Gregory,Clark,gclarkt@bloglines.com,259 Porter Avenue,Dallas,TX,(972) 979-5771
ID000031,123-99-1439,Steven,Wood,swoodu@shareasale.com,852 Darwin Alley,Dallas,TX,(214) 984-2801
ID000032,507-26-2481,Jessica,Fuller,jfullerv@bloglovin.com,975 Carpenter Parkway,Dallas,TX,(972) 956-5055
ID000033,258-33-5117,Donna,Greene,dgreenew@fema.gov,86 Delladonna Lane,Dallas,TX,(469) 969-6535
ID000034,876-94-4518,Edward,Ford,efordx@dropbox.com,34 Fulton Circle,Dallas,TX,(214) 869-1555
ID000035,153-20-8011,Steve,Torres,storresy@theguardian.com,781 Loeprich Alley,Dallas,TX,(469) 964-7789
ID000036,881-79-3670,Alice,Rivera,ariveraz@nasa.gov,79 Dayton Center,Dallas,TX,(214) 841-3416
ID000037,878-61-5560,Jessica,Freeman,jfreeman10@devhub.com,27997 Loftsgordon Lane,Dallas,TX,(214) 835-4205
ID000038,728-84-4113,Kenneth,Harrison,kharrison11@sitemeter.com,25074 Holmberg Park,Richardson,TX,(972) 774-1504
ID000039,792-17-4540,Betty,Austin,baustin12@nature.com,4 Schmedeman Terrace,Dallas,TX,(972) 927-7561
ID000040,433-05-3698,Irene,Gonzalez,igonzalez13@boston.com,820 Oxford Crossing,Dallas,TX,(214) 865-5203
ID000041,132-21-3747,Charles,Foster,cfoster14@mtv.com,850 Summerview Crossing,Dallas,TX,(469) 910-6688
ID000042,457-93-9804,Gregory,Perez,gperez15@myspace.com,57 Bluejay Pass,Dallas,TX,(972) 433-8549
ID000043,906-16-1095,Jose,Stone,jstone16@nhs.uk,93 Waywood Parkway,Dallas,TX,(972) 991-8017
ID000044,882-36-6316,Patrick,Moore,pmoore17@baidu.com,78 Crest Line Road,Dallas,TX,(214) 950-2446
ID000045,728-96-3473,Louis,Lynch,llynch18@zimbio.com,12197 Kinsman Center,Dallas,TX,(469) 820-4208
ID000046,377-44-1238,Matthew,Snyder,msnyder19@google.com.au,169 Mayfield Park,Richardson,TX,(469) 855-5018
ID000047,582-62-7069,Sara,Wagner,swagner1a@addtoany.com,24827 Twin Pines Junction,Richardson,TX,(469) 914-5869
ID000048,577-82-2947,Louise,Long,llong1b@gov.uk,6 Haas Center,Dallas,TX,(214) 939-0517
ID000049,216-53-6968,Judy,Hamilton,jhamilton1c@domainmarket.com,65364 Mosinee Center,Dallas,TX,(972) 847-2849
ID000050,202-40-3427,Evelyn,Young,eyoung1d@java.com,4788 South Street,Dallas,TX,(214) 864-9776
ID000051,897-56-8517,James,Moore,jmoore1e@wix.com,9089 Lunder Parkway,Dallas,TX,(469) 830-4056
